"","self.time.rab3e84e","self.time.r5c98a1f","self.pct.rab3e84e","self.pct.r5c98a1f","total.time.rab3e84e","total.time.r5c98a1f","total.pct.rab3e84e","total.pct.r5c98a1f","mem.total.rab3e84e","mem.total.r5c98a1f","samples.rab3e84e","samples.r5c98a1f"
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_none",,,,,,,,,,,0,0
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_none",0.05,0.05,0.03,0.03,0.05,160.875,0.03,99.645,7.6,665.15,2,2
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_none",,,,,,,,,,,0,0
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_none",,0.05,,0.03,,166.5875,,99.65,,677.925,0,4
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_none",,0.316666666666667,,0.818333333333333,,116.708333333333,,99.2216666666667,,642.75,0,6
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_none",,0.5,,1.79,,27.5,,98.21,,565.5,0,1
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_none",,0.15,,0.43,,133.79,,99.26,,628.6,0,5
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_none",,48.6444444444444,,95.4308333333333,,48.6722222222222,,95.5227777777778,,538.197222222222,0,36
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_none",,,,,,,,,,,0,0
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_none",,,,,,,,,,,0,0
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_none",,0.05,,0.03,,172.9,,100,,884.5,0,2
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_none",0.05,0.05,0.03,0.03,158.194444444444,158.94,100,100,36702.5666666667,856.64,9,5
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_none",0.0571428571428571,,0.0371428571428571,,149.8,,99.6314285714286,,34943.4285714286,,7,0
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_none",0.8,,0.515,,129.320833333333,,83.0733333333333,,30055.5583333333,,12,0
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_none",128.245833333333,,82.3791666666667,,128.279166666667,,82.4008333333333,,29801.9333333333,,12,0
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_none",7.7,,4.94416666666667,,79.05,,50.7758333333333,,18353.9083333333,,12,0
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_none",7.27083333333333,,4.67083333333333,,76.0083333333333,,48.8291666666667,,17668.8583333333,,12,0
"deSolve/R/lsoda.R#230#"".Call"".ecoliFASTHMMTEST_selac_UNREST_none",,1.85,,5.52571428571429,,1.85,,5.52571428571429,,32.1428571428571,0,7
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_none",3.99166666666667,,2.56083333333333,,3.99166666666667,,2.56083333333333,,991.733333333333,,12,0
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_none",1.3125,,0.845,,1.3125,,0.845,,287.883333333333,,12,0
"deSolve/R/functions.R#292#""as.character"".ecoliFASTHMMTEST_selac_UNREST_none",,0.425,,1.345625,,0.425,,1.345625,,8.41875,0,16
"""delayedAssign"".ecoliFASTHMMTEST_selac_UNREST_none",,0.5,,1.67,,0.5,,1.67,,48.1,0,1
"deSolve/R/rk.R#75#""$"".ecoliFASTHMMTEST_selac_UNREST_none",,0.5,,1.67,,0.5,,1.67,,12.1,0,1
"GrahamDB-selac-ca13013/R/selac.R#1161#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_none",0.05,0.425,0.0308333333333333,1.50555555555556,0.05,0.425,0.0308333333333333,1.50555555555556,17.2083333333333,3.44166666666667,12,36
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_median",0.0777777777777778,0.1875,0.0155555555555556,0.0875,573.088888888889,545.7875,99.8511111111111,99.735,132726.555555556,2674.9,9,4
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_median",0.05,0.233333333333333,0.01,0.146666666666667,0.15,474.05,0.03,99.59,32.4,2491.93333333333,1,3
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_median",,,,,,,,,,,0,0
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_median",,0.2,,0.118571428571429,,511.235714285714,,99.5842857142857,,2529.04285714286,0,7
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_median",,0.346153846153846,,0.25,,361.984615384615,,99.1869230769231,,2369.57692307692,0,13
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_median",,0.175,,0.1125,,507.7375,,99.3825,,2476.375,0,4
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_median",,0.36,,0.268666666666667,,321.56,,93.494,,2220.16,0,15
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_median",,194.031944444444,,90.0569444444444,,194.122222222222,,90.1163888888889,,2096.60833333333,0,36
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_median",,,,,,,,,,,0,0
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_median",,,,,,,,,,,0,0
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_median",,0.05,,0.01,,699.55,,100,,3098.1,0,1
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_median",0.05,0.05,0.01,0.01,570.8,650.1125,100,100,132263.666666667,3044.15,9,4
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_median",0.116666666666667,,0.0233333333333333,,571.308333333333,,99.7766666666667,,132384.591666667,,12,0
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_median",2.42916666666667,,0.423333333333333,,476.758333333333,,83.2658333333333,,110556.558333333,,12,0
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_median",473.566666666667,,82.71,,473.704166666667,,82.735,,109889,,12,0
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_median",28.6458333333333,,5.0025,,293.4625,,51.255,,67891.3083333333,,12,0
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_median",26.4666666666667,,4.62166666666667,,277.645833333333,,48.4875,,64444.525,,12,0
"deSolve/R/lsoda.R#230#"".Call"".ecoliFASTHMMTEST_selac_UNREST_median",,14.7333333333333,,10.0466666666667,,14.7351851851852,,10.047037037037,,164.055555555556,0,27
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_median",15.5416666666667,,2.715,,15.5458333333333,,2.71583333333333,,3767.95833333333,,12,0
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_median",5.15416666666667,,0.9,,5.1625,,0.900833333333333,,1150.60833333333,,12,0
"deSolve/R/functions.R#292#""as.character"".ecoliFASTHMMTEST_selac_UNREST_median",,0.91,,0.6552,,0.91,,0.6552,,14.776,0,25
"""delayedAssign"".ecoliFASTHMMTEST_selac_UNREST_median",0.05,,0.01,,0.05,,0.01,,29.5,,1,0
"deSolve/R/rk.R#75#""$"".ecoliFASTHMMTEST_selac_UNREST_median",,,,,,,,,,,0,0
"GrahamDB-selac-ca13013/R/selac.R#1161#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_median",0.133333333333333,0.454166666666667,0.025,0.388888888888889,0.133333333333333,0.454166666666667,0.025,0.388888888888889,60.125,4.6,12,36
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0583333333333333,0.291666666666667,0.0116666666666667,0.225,642.466666666667,389.883333333333,99.86,99.8683333333333,148697.2,2491.41666666667,6,6
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0666666666666667,0.207142857142857,0.01,0.14,0.1,497.564285714286,0.0133333333333333,99.5814285714286,10.2,2490.3,3,7
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,,,,,,,,,,0,0
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.05,0.24375,0.01,0.175,666.65,448.8625,99.81,99.4275,154266.1,2456.4875,1,8
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,0.452631578947368,,0.330526315789474,,289.242105263158,,99.1663157894737,,2403.57368421053,0,19
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,0.275,,0.215,,355.1125,,99.3225,,2427.325,0,4
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,0.346153846153846,,0.226153846153846,,353.980769230769,,91.6407692307692,,2304.56153846154,0,13
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,193.947222222222,,89.7147222222222,,194.069444444444,,89.8027777777778,,2124.35,0,36
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,,,,,,,,,,0,0
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,0.05,,0.01,,581.9,,100,,3143.8,0,1
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,,,,,,,,,,0,0
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.05,0.05,0.01,0.01,637.485,646.525,100,100,147757.71,3086.15,10,6
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0888888888888889,,0.0155555555555556,,640.016666666667,,99.7955555555556,,148211.955555556,,9,0
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_quadrature",2.96666666666667,,0.464166666666667,,535.345833333333,,83.2975,,124100.6,,12,0
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",531.504166666667,,82.6958333333333,,531.720833333333,,82.7308333333333,,123264.591666667,,12,0
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",32.0875,,4.99333333333333,,325.391666666667,,50.6325,,75309.5333333333,,12,0
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",29.6666666666667,,4.61916666666667,,315.820833333333,,49.1425,,73279.9083333333,,12,0
"deSolve/R/lsoda.R#230#"".Call"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,14.3983870967742,,9.15290322580645,,14.4,,9.15322580645161,,171.161290322581,0,31
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17.6916666666667,,2.75166666666667,,17.6958333333333,,2.7525,,4314.16666666667,,12,0
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_quadrature",5.59583333333333,,0.87,,5.59583333333333,,0.87,,1267.08333333333,,12,0
"deSolve/R/functions.R#292#""as.character"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,0.964,,0.6888,,0.964,,0.6888,,14.4,0,25
"""delayedAssign"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,,,,,,,,,,0,0
"deSolve/R/rk.R#75#""$"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,,,,,,,,,,0,0
"GrahamDB-selac-ca13013/R/selac.R#1161#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.145833333333333,0.480555555555556,0.0241666666666667,0.405833333333333,0.145833333333333,0.480555555555556,0.0241666666666667,0.405833333333333,62.7833333333333,4.41111111111111,12,36
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.05,0.216666666666667,0.01,0.0933333333333333,695.6,468.85,99.876,99.9066666666667,161356.34,2813.43333333333,5,3
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.05,0.216666666666667,0.01,0.11,0.05,486.65,0.01,99.56,4.05,2603.2,2,3
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,,,,,,,,,,0,0
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,0.275,,0.155,,399.725,,99.59,,2650.975,0,4
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,0.340909090909091,,0.219090909090909,,374.159090909091,,99.4409090909091,,2498.00909090909,0,11
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,0.0666666666666667,,0.01,,671.55,,99.7633333333333,,2651.26666666667,0,3
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,0.3,,0.194444444444444,,468.366666666667,,95.6233333333333,,2393.41111111111,0,9
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,195.402777777778,,83.8163888888889,,195.559722222222,,83.9336111111111,,2095.6,0,36
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,,,,,,,,,,0,0
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,,,,,,,,,,0,0
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,,,,,,,,,,0,0
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.05,0.05,0.01,0.01,689.041666666667,645.84,100,100,159864.25,3005.74,6,5
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.105,,0.015,,682.375,,99.816,,158638.1,,10,0
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_lognormal",3.02083333333333,,0.44,,573.545833333333,,83.4283333333333,,133416.7,,12,0
