"","self.time.rab3e84e","self.time.r5c98a1f","self.pct.rab3e84e","self.pct.r5c98a1f","total.time.rab3e84e","total.time.r5c98a1f","total.pct.rab3e84e","total.pct.r5c98a1f","mem.total.rab3e84e","mem.total.r5c98a1f","samples.rab3e84e","samples.r5c98a1f"
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_lognormal",569.466666666667,,82.835,,569.6,,82.8541666666667,,132508.716666667,,12,0
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_lognormal",33.6041666666667,,4.89,,347.9125,,50.6125,,80780.0083333333,,12,0
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_lognormal",32.3708333333333,,4.71083333333333,,338.091666666667,,49.1825,,78633.5,,12,0
"deSolve/R/lsoda.R#230#"".Call"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,29.6453125,,15.8203125,,29.6765625,,15.8453125,,323.68125,0,32
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_lognormal",18.5583333333333,,2.70083333333333,,18.5708333333333,,2.7025,,4511.575,,12,0
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_lognormal",5.77083333333333,,0.840833333333333,,5.775,,0.841666666666667,,1280.94166666667,,12,0
"deSolve/R/functions.R#292#""as.character"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,0.851785714285714,,0.561071428571429,,0.853571428571429,,0.561071428571429,,14.7535714285714,0,28
"""delayedAssign"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,,,,,,,,,,0,0
"deSolve/R/rk.R#75#""$"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,,,,,,,,,,0,0
"GrahamDB-selac-ca13013/R/selac.R#1161#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.179166666666667,0.4875,0.0258333333333333,0.375833333333333,0.179166666666667,0.4875,0.0258333333333333,0.375833333333333,70.2583333333333,4.11666666666667,12,36
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliHMMEVAL50_selac_UNREST_none",,,,,,,,,,,0,0
"""lapply"".ecoliHMMEVAL50_selac_UNREST_none",,0.075,,0.01,,742.110714285714,,99.92,,2851.17857142857,0,14
"<expr>#760#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_none",,0.05,,0.01,,748.9025,,100,,3038.95,0,20
"""FUN"".ecoliHMMEVAL50_selac_UNREST_none",,0.0791666666666667,,0.01125,,736.0625,,99.9191666666667,,2786.78333333333,0,24
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliHMMEVAL50_selac_UNREST_none",,0.198275862068966,,0.0275862068965517,,739.079310344828,,99.9186206896552,,2800.22068965517,0,29
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliHMMEVAL50_selac_UNREST_none",,0.065625,,0.01,,752.04375,,99.87625,,2821.86875,0,16
"deSolve/R/ode.R#22#""rk"".ecoliHMMEVAL50_selac_UNREST_none",,0.153333333333333,,0.0203333333333333,,737.188333333333,,99.8246666666667,,2787.34666666667,0,30
"deSolve/R/rk.R#210#"".Call"".ecoliHMMEVAL50_selac_UNREST_none",,734.88,,99.511,,734.985,,99.525,,2734.87,0,30
"<expr>#1042#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_none",,,,,,,,,,,0,0
"""tryCatchList"".ecoliHMMEVAL50_selac_UNREST_none",,,,,,,,,,,0,0
"""doTryCatch"".ecoliHMMEVAL50_selac_UNREST_none",,0.05,,0.01,,733.55,,100,,3006.46666666667,0,3
"<expr>#986#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_none",,,,,,,,,,,0,0
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliHMMEVAL50_selac_UNREST_none",,,,,,,,,,,0,0
"expm/R/expm_vec.R#78#""as.vector"".ecoliHMMEVAL50_selac_UNREST_none",,,,,,,,,,,0,0
"expm/R/expm_vec.R#78#""%*%"".ecoliHMMEVAL50_selac_UNREST_none",,,,,,,,,,,0,0
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_none",,,,,,,,,,,0,0
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_none",,,,,,,,,,,0,0
"deSolve/R/lsoda.R#230#"".Call"".ecoliHMMEVAL50_selac_UNREST_none",,1.875,,0.255,,1.8875,,0.2575,,21.5,0,4
"expm/R/expm_vec.R#95#""%*%"".ecoliHMMEVAL50_selac_UNREST_none",,,,,,,,,,,0,0
"expm/R/expm_vec.R#80#""sum"".ecoliHMMEVAL50_selac_UNREST_none",,,,,,,,,,,0,0
"deSolve/R/functions.R#292#""as.character"".ecoliHMMEVAL50_selac_UNREST_none",,0.781666666666667,,0.106,,0.781666666666667,,0.106,,2.02666666666667,0,30
"""delayedAssign"".ecoliHMMEVAL50_selac_UNREST_none",,0.05,,0.01,,0.05,,0.01,,0,0,1
"deSolve/R/rk.R#75#""$"".ecoliHMMEVAL50_selac_UNREST_none",,0.05,,0.01,,0.05,,0.01,,0.3,0,2
"GrahamDB-selac-ca13013/R/selac.R#1161#""<GC>"".ecoliHMMEVAL50_selac_UNREST_none",,0.05,,0.01,,0.05,,0.01,,33.04,0,30
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliHMMEVAL50_selac_UNREST_median",,0.05,,0,,3059.49285714286,,99.97,,11445.3857142857,0,7
"""lapply"".ecoliHMMEVAL50_selac_UNREST_median",,0.122222222222222,,0.00333333333333333,,3042.49444444444,,99.9555555555555,,11290.5111111111,0,9
"<expr>#760#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_median",,0.05,,0,,3033.48,,100,,11684.8,0,10
"""FUN"".ecoliHMMEVAL50_selac_UNREST_median",,0.27,,0.008,,3032.145,,99.955,,11258.57,0,10
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliHMMEVAL50_selac_UNREST_median",,0.675,,0.022,,3032.085,,99.953,,11253.62,0,10
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliHMMEVAL50_selac_UNREST_median",,0.215,,0.007,,3030.895,,99.916,,11248.21,0,10
"deSolve/R/ode.R#22#""rk"".ecoliHMMEVAL50_selac_UNREST_median",,0.635,,0.02,,3020.27,,99.558,,11143.11,0,10
"deSolve/R/rk.R#210#"".Call"".ecoliHMMEVAL50_selac_UNREST_median",,3011.465,,99.268,,3011.855,,99.281,,11059.12,0,10
"<expr>#1042#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_median",,,,,,,,,,,0,0
"""tryCatchList"".ecoliHMMEVAL50_selac_UNREST_median",,,,,,,,,,,0,0
"""doTryCatch"".ecoliHMMEVAL50_selac_UNREST_median",,,,,,,,,,,0,0
"<expr>#986#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_median",,,,,,,,,,,0,0
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliHMMEVAL50_selac_UNREST_median",,,,,,,,,,,0,0
"expm/R/expm_vec.R#78#""as.vector"".ecoliHMMEVAL50_selac_UNREST_median",,,,,,,,,,,0,0
"expm/R/expm_vec.R#78#""%*%"".ecoliHMMEVAL50_selac_UNREST_median",,,,,,,,,,,0,0
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_median",,,,,,,,,,,0,0
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_median",,,,,,,,,,,0,0
"deSolve/R/lsoda.R#230#"".Call"".ecoliHMMEVAL50_selac_UNREST_median",,11.2277777777778,,0.377777777777778,,11.2444444444444,,0.378888888888889,,85.8555555555556,0,9
"expm/R/expm_vec.R#95#""%*%"".ecoliHMMEVAL50_selac_UNREST_median",,,,,,,,,,,0,0
"expm/R/expm_vec.R#80#""sum"".ecoliHMMEVAL50_selac_UNREST_median",,,,,,,,,,,0,0
"deSolve/R/functions.R#292#""as.character"".ecoliHMMEVAL50_selac_UNREST_median",,3.215,,0.105,,3.225,,0.106,,8.43,0,10
"""delayedAssign"".ecoliHMMEVAL50_selac_UNREST_median",,0.05,,0,,0.05,,0,,9.9,0,1
"deSolve/R/rk.R#75#""$"".ecoliHMMEVAL50_selac_UNREST_median",,0.0583333333333333,,0,,0.0583333333333333,,0,,0.566666666666667,0,6
"GrahamDB-selac-ca13013/R/selac.R#1161#""<GC>"".ecoliHMMEVAL50_selac_UNREST_median",,0.07,,0.001,,0.07,,0.001,,16.17,0,10
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliHMMEVAL50_selac_UNREST_quadrature",,0.1,,0,,2986.5,,99.97,,11823.9,0,2
"""lapply"".ecoliHMMEVAL50_selac_UNREST_quadrature",,0.075,,0,,2975.85,,99.9583333333333,,11297.6333333333,0,6
"<expr>#760#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_quadrature",,,,,,,,,,,0,0
"""FUN"".ecoliHMMEVAL50_selac_UNREST_quadrature",,0.225,,0.005,,2975.83333333333,,99.9566666666667,,11290.1666666667,0,6
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliHMMEVAL50_selac_UNREST_quadrature",,0.683333333333333,,0.0233333333333333,,2975.78333333333,,99.955,,11284.8333333333,0,6
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliHMMEVAL50_selac_UNREST_quadrature",,0.158333333333333,,0.00333333333333333,,2974.65,,99.9166666666667,,11279.1,0,6
"deSolve/R/ode.R#22#""rk"".ecoliHMMEVAL50_selac_UNREST_quadrature",,0.666666666666667,,0.0216666666666667,,2961.53333333333,,99.4716666666667,,11143.4,0,6
"deSolve/R/rk.R#210#"".Call"".ecoliHMMEVAL50_selac_UNREST_quadrature",,2953.35,,99.1983333333333,,2953.925,,99.2166666666667,,11068.0666666667,0,6
"<expr>#1042#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_quadrature",,0.05,,0,,2875.31666666667,,100,,11295.9333333333,0,3
"""tryCatchList"".ecoliHMMEVAL50_selac_UNREST_quadrature",,0.05,,0,,2883.8,,100,,12294.8,0,1
"""doTryCatch"".ecoliHMMEVAL50_selac_UNREST_quadrature",,,,,,,,,,,0,0
"<expr>#986#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_quadrature",,,,,,,,,,,0,0
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliHMMEVAL50_selac_UNREST_quadrature",,,,,,,,,,,0,0
"expm/R/expm_vec.R#78#""as.vector"".ecoliHMMEVAL50_selac_UNREST_quadrature",,,,,,,,,,,0,0
"expm/R/expm_vec.R#78#""%*%"".ecoliHMMEVAL50_selac_UNREST_quadrature",,,,,,,,,,,0,0
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_quadrature",,,,,,,,,,,0,0
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_quadrature",,,,,,,,,,,0,0
"deSolve/R/lsoda.R#230#"".Call"".ecoliHMMEVAL50_selac_UNREST_quadrature",,15.12,,0.514,,15.12,,0.514,,128.64,0,5
"expm/R/expm_vec.R#95#""%*%"".ecoliHMMEVAL50_selac_UNREST_quadrature",,,,,,,,,,,0,0
"expm/R/expm_vec.R#80#""sum"".ecoliHMMEVAL50_selac_UNREST_quadrature",,,,,,,,,,,0,0
"deSolve/R/functions.R#292#""as.character"".ecoliHMMEVAL50_selac_UNREST_quadrature",,2.91666666666667,,0.0966666666666667,,2.925,,0.0966666666666667,,6.05,0,6
"""delayedAssign"".ecoliHMMEVAL50_selac_UNREST_quadrature",,,,,,,,,,,0,0
"deSolve/R/rk.R#75#""$"".ecoliHMMEVAL50_selac_UNREST_quadrature",,0.075,,0,,0.075,,0,,0.45,0,4
"GrahamDB-selac-ca13013/R/selac.R#1161#""<GC>"".ecoliHMMEVAL50_selac_UNREST_quadrature",,0.108333333333333,,0.00166666666666667,,0.108333333333333,,0.00166666666666667,,35.65,0,6
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliHMMEVAL50_selac_UNREST_lognormal",,0.0583333333333333,,0,,2964.65833333333,,99.9716666666667,,11449.7666666667,0,6
"""lapply"".ecoliHMMEVAL50_selac_UNREST_lognormal",,0.1,,0.002,,2933.88,,99.956,,11296.24,0,5
"<expr>#760#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_lognormal",,,,,,,,,,,0,0
"""FUN"".ecoliHMMEVAL50_selac_UNREST_lognormal",,0.233333333333333,,0.00833333333333333,,2964.18333333333,,99.9566666666667,,11310.8666666667,0,6
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliHMMEVAL50_selac_UNREST_lognormal",,0.6,,0.02,,2964.13333333333,,99.955,,11305.5,0,6
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliHMMEVAL50_selac_UNREST_lognormal",,0.141666666666667,,0.005,,2962.925,,99.9133333333333,,11299.4,0,6
"deSolve/R/ode.R#22#""rk"".ecoliHMMEVAL50_selac_UNREST_lognormal",,0.566666666666667,,0.0183333333333333,,2941.025,,99.1683333333333,,11089.7666666667,0,6
"deSolve/R/rk.R#210#"".Call"".ecoliHMMEVAL50_selac_UNREST_lognormal",,2933.03333333333,,98.8966666666667,,2933.425,,98.9116666666667,,11004.6333333333,0,6
"<expr>#1042#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_lognormal",,0.05,,0,,2978.43,,100,,11764.06,0,5
"""tryCatchList"".ecoliHMMEVAL50_selac_UNREST_lognormal",,,,,,,,,,,0,0
"""doTryCatch"".ecoliHMMEVAL50_selac_UNREST_lognormal",,0.05,,0,,2855.875,,100,,10919.25,0,2
"<expr>#986#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_lognormal",,,,,,,,,,,0,0
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliHMMEVAL50_selac_UNREST_lognormal",,,,,,,,,,,0,0
"expm/R/expm_vec.R#78#""as.vector"".ecoliHMMEVAL50_selac_UNREST_lognormal",,,,,,,,,,,0,0
"expm/R/expm_vec.R#78#""%*%"".ecoliHMMEVAL50_selac_UNREST_lognormal",,,,,,,,,,,0,0
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_lognormal",,,,,,,,,,,0,0
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_lognormal",,,,,,,,,,,0,0
"deSolve/R/lsoda.R#230#"".Call"".ecoliHMMEVAL50_selac_UNREST_lognormal",,21.35,,0.726666666666667,,21.3583333333333,,0.726666666666667,,187.283333333333,0,6
"expm/R/expm_vec.R#95#""%*%"".ecoliHMMEVAL50_selac_UNREST_lognormal",,,,,,,,,,,0,0
"expm/R/expm_vec.R#80#""sum"".ecoliHMMEVAL50_selac_UNREST_lognormal",,,,,,,,,,,0,0
"deSolve/R/functions.R#292#""as.character"".ecoliHMMEVAL50_selac_UNREST_lognormal",,2.875,,0.0966666666666667,,2.875,,0.0966666666666667,,6.88333333333333,0,6
"""delayedAssign"".ecoliHMMEVAL50_selac_UNREST_lognormal",,0.05,,0,,0.05,,0,,0,0,1
"deSolve/R/rk.R#75#""$"".ecoliHMMEVAL50_selac_UNREST_lognormal",,,,,,,,,,,0,0
"GrahamDB-selac-ca13013/R/selac.R#1161#""<GC>"".ecoliHMMEVAL50_selac_UNREST_lognormal",,0.108333333333333,,0.00166666666666667,,0.108333333333333,,0.00166666666666667,,53.5333333333333,0,6
