"","block","codon","nuc","gamma","version","mc","seed","ntick","neval"
"1","ecoliFASTHMMTEST","selac","GTR","none","5c98a1f",5,2053,10,10
"2","ecoliFASTHMMTEST","selac","GTR","none","5c98a1f",1,2054,10,10
"3","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3010,10,10
"4","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3013,9,9
"5","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3014,10,10
"6","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3011,10,10
"7","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3015,10,10
"8","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3012,10,10
"9","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3016,9,9
"10","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3019,10,10
"11","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3020,10,10
"12","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3017,10,10
"13","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3021,10,10
"14","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3018,9,9
"15","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3022,10,10
"16","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3025,9,9
"17","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3026,9,9
"18","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3023,10,10
"19","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3027,9,9
"20","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3024,10,10
"21","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3028,10,10
"22","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3031,10,10
"23","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3032,10,10
"24","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3029,10,10
"25","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3033,9,9
"26","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3030,10,10
"27","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3034,10,10
"28","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3037,10,10
"29","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3038,9,9
"30","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3035,10,10
"31","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3039,8,8
"32","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3036,9,9
"33","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3010,10,40
"34","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3013,9,36
"35","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3014,10,40
"36","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3011,10,40
"37","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3015,10,40
"38","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3012,10,40
"39","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3016,9,36
"40","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3019,10,40
"41","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3020,10,40
"42","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3017,10,40
"43","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3021,10,40
"44","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3018,9,36
"45","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3022,10,40
"46","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3025,9,36
"47","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3026,9,36
"48","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3023,10,40
"49","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3027,9,36
"50","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3024,10,40
"51","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3028,10,40
"52","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3031,10,40
"53","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3032,10,40
"54","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3029,10,40
"55","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3033,9,36
"56","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3030,10,40
"57","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3034,10,40
"58","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3037,10,40
"59","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3038,9,36
"60","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3035,10,40
"61","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3039,8,32
"62","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3036,9,36
"63","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3010,10,40
"64","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3013,9,36
"65","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3014,10,40
"66","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3011,10,40
"67","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3015,10,40
"68","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3012,10,40
"69","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3016,9,36
"70","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3019,10,40
"71","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3020,10,40
"72","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3017,10,40
"73","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3021,10,40
"74","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3018,9,36
"75","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3022,10,40
"76","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3025,9,36
"77","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3026,9,36
"78","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3023,10,40
"79","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3027,9,36
"80","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3024,10,40
"81","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3028,10,40
"82","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3031,10,40
"83","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3032,10,40
"84","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3029,10,40
"85","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3033,9,36
"86","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3030,10,40
"87","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3034,10,40
"88","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3037,10,40
"89","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3038,9,36
"90","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3035,10,40
"91","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3039,8,32
"92","ecoliFASTHMMTEST","selac","UNREST","quadrature","5c98a1f",1,3036,9,36
"93","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3010,10,40
"94","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3013,9,36
"95","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3014,10,40
"96","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3011,10,40
"97","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3015,10,40
"98","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3012,10,40
"99","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3016,9,36
"100","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3019,10,40
"101","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3020,10,40
"102","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3017,10,40
"103","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3021,10,40
"104","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3018,9,36
"105","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3022,10,40
"106","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3025,9,36
"107","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3026,9,36
"108","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3023,10,40
"109","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3027,9,36
"110","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3024,10,40
"111","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3028,10,40
"112","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3031,10,40
"113","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3032,10,40
"114","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3029,10,40
"115","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3033,9,36
"116","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3030,10,40
"117","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3034,10,40
"118","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3037,10,40
"119","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3038,9,36
"120","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3035,10,40
"121","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3039,8,32
"122","ecoliFASTHMMTEST","selac","UNREST","lognormal","5c98a1f",1,3036,9,36
"123","ecoliFASTHMMTEST","selac","UNREST","none","ade1e58",1,3010,10,10
"124","ecoliFASTHMMTEST","selac","UNREST","none","ade1e58",1,3013,9,9
"125","ecoliFASTHMMTEST","selac","UNREST","none","ade1e58",1,3014,10,10
"126","ecoliFASTHMMTEST","selac","UNREST","none","ade1e58",1,3011,10,10
"127","ecoliFASTHMMTEST","selac","UNREST","none","ade1e58",1,3015,10,10
"128","ecoliFASTHMMTEST","selac","UNREST","none","ade1e58",1,3012,10,10
"129","ecoliFASTHMMTEST","selac","UNREST","median","ade1e58",1,3010,10,40
"130","ecoliFASTHMMTEST","selac","UNREST","median","ade1e58",1,3013,9,36
"131","ecoliFASTHMMTEST","selac","UNREST","median","ade1e58",1,3014,10,40
"132","ecoliFASTHMMTEST","selac","UNREST","median","ade1e58",1,3011,10,40
"133","ecoliFASTHMMTEST","selac","UNREST","median","ade1e58",1,3015,10,40
"134","ecoliFASTHMMTEST","selac","UNREST","median","ade1e58",1,3012,10,40
"135","ecoliFASTHMMTEST","selac","UNREST","quadrature","ade1e58",1,3010,10,40
"136","ecoliFASTHMMTEST","selac","UNREST","quadrature","ade1e58",1,3013,9,36
"137","ecoliFASTHMMTEST","selac","UNREST","quadrature","ade1e58",1,3014,10,40
"138","ecoliFASTHMMTEST","selac","UNREST","quadrature","ade1e58",1,3011,10,40
"139","ecoliFASTHMMTEST","selac","UNREST","quadrature","ade1e58",1,3015,10,40
"140","ecoliFASTHMMTEST","selac","UNREST","quadrature","ade1e58",1,3012,10,40
"141","ecoliFASTHMMTEST","selac","UNREST","lognormal","ade1e58",1,3010,10,40
"142","ecoliFASTHMMTEST","selac","UNREST","lognormal","ade1e58",1,3013,9,36
"143","ecoliFASTHMMTEST","selac","UNREST","lognormal","ade1e58",1,3014,10,40
"144","ecoliFASTHMMTEST","selac","UNREST","lognormal","ade1e58",1,3011,10,40
"145","ecoliFASTHMMTEST","selac","UNREST","lognormal","ade1e58",1,3015,10,40
"146","ecoliFASTHMMTEST","selac","UNREST","lognormal","ade1e58",1,3012,10,40
"147","ecoliFASTHMMTEST","selac","UNREST","none","86cc7e9",1,3010,10,10
"148","ecoliFASTHMMTEST","selac","UNREST","none","86cc7e9",1,3013,9,9
"149","ecoliFASTHMMTEST","selac","UNREST","none","86cc7e9",1,3014,10,10
"150","ecoliFASTHMMTEST","selac","UNREST","none","86cc7e9",1,3011,10,10
"151","ecoliFASTHMMTEST","selac","UNREST","none","86cc7e9",1,3015,10,10
"152","ecoliFASTHMMTEST","selac","UNREST","none","86cc7e9",1,3012,10,10
"154","ecoliFASTHMMTEST","selac","UNREST","none","f1c3d1e",1,3010,10,10
"155","ecoliFASTHMMTEST","selac","UNREST","none","f1c3d1e",1,3013,9,9
"156","ecoliFASTHMMTEST","selac","UNREST","none","f1c3d1e",1,3014,10,10
"157","ecoliFASTHMMTEST","selac","UNREST","none","f1c3d1e",1,3011,10,10
"158","ecoliFASTHMMTEST","selac","UNREST","none","f1c3d1e",1,3015,10,10
"159","ecoliFASTHMMTEST","selac","UNREST","none","f1c3d1e",1,3012,10,10
"160","ecoliFASTHMMTEST","selac","UNREST","median","f1c3d1e",1,3010,10,40
"161","ecoliFASTHMMTEST","selac","UNREST","median","f1c3d1e",1,3013,9,36
"162","ecoliFASTHMMTEST","selac","UNREST","median","f1c3d1e",1,3014,10,40
"163","ecoliFASTHMMTEST","selac","UNREST","median","f1c3d1e",1,3011,10,40
"164","ecoliFASTHMMTEST","selac","UNREST","median","f1c3d1e",1,3015,10,40
"165","ecoliFASTHMMTEST","selac","UNREST","median","f1c3d1e",1,3012,10,40
"166","ecoliFASTHMMTEST","selac","UNREST","quadrature","f1c3d1e",1,3010,10,40
"167","ecoliFASTHMMTEST","selac","UNREST","quadrature","f1c3d1e",1,3013,9,36
"168","ecoliFASTHMMTEST","selac","UNREST","quadrature","f1c3d1e",1,3014,10,40
"169","ecoliFASTHMMTEST","selac","UNREST","quadrature","f1c3d1e",1,3011,10,40
"170","ecoliFASTHMMTEST","selac","UNREST","quadrature","f1c3d1e",1,3015,10,40
"171","ecoliFASTHMMTEST","selac","UNREST","quadrature","f1c3d1e",1,3012,10,40
"172","ecoliFASTHMMTEST","selac","UNREST","lognormal","f1c3d1e",1,3010,10,40
"173","ecoliFASTHMMTEST","selac","UNREST","lognormal","f1c3d1e",1,3013,9,36
"174","ecoliFASTHMMTEST","selac","UNREST","lognormal","f1c3d1e",1,3014,10,40
"175","ecoliFASTHMMTEST","selac","UNREST","lognormal","f1c3d1e",1,3011,10,40
"176","ecoliFASTHMMTEST","selac","UNREST","lognormal","f1c3d1e",1,3015,10,40
"177","ecoliFASTHMMTEST","selac","UNREST","lognormal","f1c3d1e",1,3012,10,40
"178","ecoliFASTHMMTEST","selac","UNREST","none","ab3e84e",1,3010,10,10
"179","ecoliFASTHMMTEST","selac","UNREST","none","ab3e84e",1,3013,9,9
"180","ecoliFASTHMMTEST","selac","UNREST","none","ab3e84e",1,3014,10,10
"181","ecoliFASTHMMTEST","selac","UNREST","none","ab3e84e",1,3011,10,10
"182","ecoliFASTHMMTEST","selac","UNREST","none","ab3e84e",1,3015,10,10
"183","ecoliFASTHMMTEST","selac","UNREST","none","ab3e84e",1,3012,10,10
"184","ecoliFASTHMMTEST","selac","UNREST","median","ab3e84e",1,3010,10,40
"185","ecoliFASTHMMTEST","selac","UNREST","median","ab3e84e",1,3013,9,36
"186","ecoliFASTHMMTEST","selac","UNREST","median","ab3e84e",1,3014,10,40
"187","ecoliFASTHMMTEST","selac","UNREST","median","ab3e84e",1,3011,10,40
"188","ecoliFASTHMMTEST","selac","UNREST","median","ab3e84e",1,3015,10,40
"189","ecoliFASTHMMTEST","selac","UNREST","median","ab3e84e",1,3012,10,40
"190","ecoliFASTHMMTEST","selac","UNREST","quadrature","ab3e84e",1,3010,10,40
"191","ecoliFASTHMMTEST","selac","UNREST","quadrature","ab3e84e",1,3013,9,36
"192","ecoliFASTHMMTEST","selac","UNREST","quadrature","ab3e84e",1,3014,10,40
"193","ecoliFASTHMMTEST","selac","UNREST","quadrature","ab3e84e",1,3011,10,40
"194","ecoliFASTHMMTEST","selac","UNREST","quadrature","ab3e84e",1,3015,10,40
"195","ecoliFASTHMMTEST","selac","UNREST","quadrature","ab3e84e",1,3012,10,40
"196","ecoliFASTHMMTEST","selac","UNREST","lognormal","ab3e84e",1,3010,10,40
"197","ecoliFASTHMMTEST","selac","UNREST","lognormal","ab3e84e",1,3013,9,36
"198","ecoliFASTHMMTEST","selac","UNREST","lognormal","ab3e84e",1,3014,10,40
"199","ecoliFASTHMMTEST","selac","UNREST","lognormal","ab3e84e",1,3011,10,40
"200","ecoliFASTHMMTEST","selac","UNREST","lognormal","ab3e84e",1,3015,10,40
"201","ecoliFASTHMMTEST","selac","UNREST","lognormal","ab3e84e",1,3012,10,40
"202","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3040,10,10
"203","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3043,9,9
"204","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3044,10,10
"205","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3041,10,10
"206","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3045,9,9
"207","ecoliFASTHMMTEST","selac","UNREST","none","5c98a1f",1,3042,9,9
"208","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3040,10,40
"209","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3043,9,36
"210","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3044,10,40
"211","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3041,10,40
"212","ecoliFASTHMMTEST","selac","UNREST","median","5c98a1f",1,3045,9,36
